How Arts Affect Your Life: Responses,If You Could Change One Thing... Responses:
"Seeing a younger generation respond to an arts experience.  Art is a unique tool to allow people to find community, identity and to build self-confidence.", More inclusion of senior citizens in events promoted in GHAC emails
My livelihood has only been as an artist and arts educator.," I have very positive feelings toward GHAC, but I  have talked to artists who feel like it is a bit clicky and that there isn't as much transparency or consistency as there can be. Maybe small group meetings with different stakeholders coming together to learn about the current mission and priorities, understand past successes and challenges and the reasons for certain changes in policies and focus over time and then a discussion. Unfortunately such relationship building takes time when we are all so busy actually programming and promoting what we are already doing....but it is a crucial step in helping those programs become more successful and the community to feel whole."
"[Transcribed] I have been a member of the Hereford Symphony for over 60 years and I've gone to most Harvard symphony concerts for at least 75 years. I am a longtime subscriber to theaterworks Hartford Hartford stage playoffs on Park, and good speed, as well as
 The terrorist leader. We also subscribe to the garmany concerts most years at the University of Hartford. I attend senior recitals at the University Harvard hard School,
 And we attend museums.
This recording keeps cutting out at the end. So I'm not sure if you are getting it or if you've already gotten it three or four times, but this is going to be the last time that I try to send it. It's got 37 seconds left, and I'm not sure what to do."," There needs to be balance between engaging artists outside of the community and local creatives. What I would like to see is more efforts to collaborate between arts communities. I would also like to see less siloed activity. Not everyone needs to be involved in everything, but I believe a community thrives when there is consistent communication and there are options for how to contribute to the success of what is happening. Local artists also need more opportunities for professional development. We should be preparing our local artists to be ready to work with the more widely recognized arts organizations in our region. It seems like many artists get overlooked because they don't know how to engage the organizations. It also seems like organizations need to engage artists in more meaningful ways."
"I am an artist, curator, and creative consultant from the Greater Hartford community. I grew up in the arts an developed into an arts professional because of my childhood experience with creatives."," Maybe do a two or three page news sheet showing different arts
Organizations and their
works."
Through dance originally in my youth. It carried on through college etc. My husband painted and I believe the arts tell the story of our times., There's a space in the arts community to support the artists and art-makers that I've observed can become crowded and sometimes dilute the support that can be generated for artists and arts creators.
"I grew up loving the TV and the movies, ended up studying it in College and moving out to Hollywood. What I found out, is that I just love the idea of storytelling. As part of my work, I help others to identify the story of their life and help them rewrite or ""re-right"" how they look at the past chapters, and give them the tools and confidence to become the authors of their own future. I also have studied and performed comedy and really think it is so important in helping us process the world around us and all that is happening within. I wish there was more opportunity to work with humor in our community beyond just going to see someone else perform."," I'd love to see a GHAC that is truly a uniting force for the Hartford arts community. I know at times that can be like herding cats, but it feels too often like GHAC is another arts organization fighting for my time and attention, rather than an organization making it easier for me to connect with the variety of fantastic arts organizations that are patron focused"
"The arts bring people together of all different backgrounds and experiences, and build bridges through which relationships and all sorts of change can happen"," I would like to see the Greater Hartford Arts Council remain transparent and intentionally include communities of color in its decision-making. This is essential for ensuring that Hartford’s communities of color have greater access, visibility, and information."
"My experience with the Neighborhood Studios program is what launched my career as an artist. Without it, I would have likely ended up in a much more boring career path."," One of the events that I run is the Hartford Taste, and for a few years, we have tried to work with GHAC, but each time the answer is no. This event supports the creative economy in so many ways, (food, (which many organizations consider an art form), music and art)."
"The arts have touched me deeply, giving me a stronger sense of connection with the community. They’ve inspired me and helped me discover the creativity within myself. As a preacher, my role every Sunday is to inspire others—and I use the Word as artistry, painting pictures that bring hope and meaning. Through the arts, I’ve also built meaningful relationships and learned to see the city of Hartford through many different lenses."," I am not really in the role of requesting grants these days, so I must be honest and say that I am only speaking from what I have heard from friends. 
What I have heard, is that in the last few years, GHAC has been more about promoting its own brand and less of a solid source of funds that especially small arts organizations depend on."
"I have had the opportunity to teach artists - offer them skills to help them thrive in the business environment. We can't assume that everyone knows how to run a business, interact with the community, show their value."," I'd like to see the Arts Council do a better job of reaching out to the arts community to obtain a schedule of events before publishing master events guides. Many times, pivotal events are left out."
"Well, way too long and/or too many stories but...
my partner and HartBeat co-founder used to say (something like) the work of theater is to make sense of this thing we call the human condition."," Find opportunities to broaden the connections that GHAC has with other arts stakeholders (artists and craftspeople, educators) from across the Hartford region"
"Music is my life and my passion. As a musician and an arts administrator, the arts have defined my childhood, adulthood, and career."," The Greater Hartford Arts Council is in a period of transition and I feel it's important right now to give time, space and support as things are being shaped."
I love the arts and they are great., Support Literary arts more; or provide opportunities to include literary arts with other types of art to create collaborative events and arts discussions. Develop more open forums where artists and community can have discourse on various topics within the arts community.
"The arts have been fundamental in my experience of the world and others, from appreciating the work of others to taking the time to  craft artistic pieces of my own, to playing and enjoying music with others",
"I'm a lifelong creative who became an art supporter and educator, which led to my current position as Executive Director of the Farmington Valley Arts Center in Avon.",
The Gifted and talented program through elementary school introduced me to the arts. The stage has been my first love ever since. I will always seek it out. The written word is my second love. Literary art shapes the world; where would we be without words?,
"[Transcribed] I am very connected to the Arts. I have been I started dancing when I was six years old and then I went professional at the age of 18 and then the majority of my career was spent traveling the world. Performing dance aerial gymnastics.
 Mostly. And now I'm into digital, art creation, and social media management, and creative writing, which I think is all part of that as well.",
The arts have always been a part of  me.  I consider myself as a creative person.,
My dad loved bringing me to live music and plays growing up. Now a big supporter of the arts as I am a photographer and dancer,
"I'm personally connected to the arts because of my upbringing. My father loves music and instilled the same love for music in me. I've been creatively writing since my youth. As I evolved, creative storytelling became a part of my life as well. Currently, I integrate the mediums of music, writing, and storytelling.",
